 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,69.723,32.322,0,1.705,1.575,3.146,7.098,17.625,3.4e38
2,1,2,70.679,32.240,0,1.622,1.483,2.789,5.877,13.534,3.4e38
3,1,3,70.495,25.496,0,0.232,1.619,3.627,9.617,28.660,32.211
4,1,4,69.278,32.946,0,1.238,1.531,3.023,6.818,17.088,3.4e38
5,2,3,52.721,39.639,0,0.284,1.624,3.616,9.551,28.529,32.336
6,2,5,35.233,41.164,0,0.205,1.432,2.988,7.716,23.251,29.186
7,3,3,41.536,67.356,0,0.272,1.637,3.500,8.704,24.276,30.309
8,3,5,34.882,79.496,0,0.293,1.694,3.696,9.211,25.248,12.342
9,4,3,76.066,72.437,0,0.309,2.040,5.483,16.674,54.547,4.630
10,4,5,83.145,88.640,0,0.234,1.777,4.137,11.077,32.405,6.115
11,5,5,51.429,88.925,0,0.143,1.291,2.917,8.548,29.274,26.098
12,5,6,52.286,81.860,0,0.324,1.548,3.188,7.699,21.005,5.537
13,6,6,27.353,57.668,0,0.237,1.395,2.736,6.660,19.362,5.535
14,6,8,26.074,43.795,0,0.267,1.522,3.136,7.635,21.131,14.436
15,7,13,76.509,35.133,0,0.280,1.715,4.058,11.265,34.707,8.226
16,7,15,68.490,29.648,0,0.842,1.481,2.780,5.858,13.519,8.777
17,7,16,66.744,28.061,0,1.420,1.600,3.262,7.528,19.086,3.4e38
18,7,18,68.864,28.307,0,1.094,1.554,3.089,6.949,17.182,3.4e38
19,8,13,15.962,60.513,0,0.437,1.699,3.730,9.328,25.588,8.698
20,8,14,15.158,61.060,0,0.465,1.617,3.409,8.271,22.275,10.200
21,9,14,33.126,33.587,0,0.740,1.656,3.526,8.651,23.737,10.200
22,9,15,32.994,33.365,0,0.497,1.418,2.791,6.633,18.297,8.777
23,10,19,14.429,58.774,0,0.787,1.387,2.489,5.073,11.518,3.4e38
24,10,20,14.331,58.669,0,0.762,1.522,2.943,6.427,15.496,3.4e38
25,10,22,13.967,58.638,0,0.672,1.396,2.620,5.760,14.414,4.252
26,10,24,13.597,58.139,0,0.517,1.400,2.502,5.082,11.652,8.286
27,11,21,68.936,24.441,0,1.326,1.593,3.226,7.376,18.502,3.4e38
28,11,22,68.224,22.007,0,1.087,1.510,2.923,6.437,15.732,4.252
29,12,25,69.489,67.309,0,0.231,1.551,3.391,9.029,27.596,8.569
30,12,26,76.726,62.821,0,0.271,1.403,2.555,5.297,12.257,10.163
31,13,26,32.690,21.836,0,0.338,1.475,2.847,6.340,15.876,10.163
32,13,28,21.995,14.473,0,0.266,1.549,3.293,8.436,24.805,12.412
33,13,30,17.984,14.651,0,0.253,1.547,3.075,7.053,18.298,15.270
34,13,31,14.190,20.078,0,0.269,1.629,3.510,8.827,24.963,58.065
35,14,27,12.446,57.907,0,0.486,1.695,3.729,9.530,27.301,13.381
36,14,29,8.757,70.890,0,0.213,1.352,2.465,5.231,12.592,11.808
